name,id,minutes,contributor_id,submitted,tags,nutrition,n_steps,steps,description,ingredients,n_ingredients
i yam what i yam  muffins,93958,45,133174,2004-06-22,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'breads', 'muffins', 'quick-breads']","[171.8, 9.0, 28.0, 10.0, 8.0, 4.0, 8.0]",10,"['preheat oven to 375 degrees', 'spray muffin tin with non-stick cooking spray and set aside', 'place the raisins in a small bowl and pour the 1 / 4 cup boiling water over them', 'cover and set aside while preparing batter', 'combine the flours , cocoa , baking powder , cinnamon , cloves , baking soda , and salt', 'lightly beat eggs with sorghum , oil , mashed yams and orange juice', 'add the egg mixture and buttermilk alternately to the dry ingredients , stir until well blended', 'drain the raisins and add to batter along with orange peel', 'spoon batter into prepared muffin tins , sprinkle 1 / 4 to 1 / 2 tsp of granulated sugar over each muffin', 'bake in preheated oven for 15 to 20 minutes']","these muffins may have slightly different ingredients but the end result is a wonderful rich, moist muffin. the sugar sprinkled on top before cooking gives a slightly sweet crunch and cracked glazed appearance.","['all-purpose flour', 'buckwheat flour', 'unsweetened cocoa', 'baking powder', 'baking soda', 'salt', 'ground cinnamon', 'ground cloves', 'sorghum', 'eggs', 'yam', 'low-fat buttermilk', 'orange rind', 'orange juice', 'canola oil', 'raisins', 'boiling water', 'granulated sugar']",18
to your health  muffins,61973,40,33823,2003-05-12,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'breads', 'muffins', 'quick-breads']","[159.0, 8.0, 58.0, 10.0, 7.0, 4.0, 8.0]",5,"['blend together in large bowl flour , bran , brown sugar , baking soda , salt , cinnamon , carrots and raisins', 'in second bowl , beat buttermilk , oil , egg and vanilla', 'add liquid ingredients to dry ingredients and mix just until moistened', 'spoon into 12 greased or paper-lined muffin cups', 'bake at 375f for 20 minutes']","these muffins sound like they are very healthy for you, and pretty easy to make. another one of my great finds. to your health. enjoy","['whole wheat flour', 'natural bran', 'brown sugar', 'baking soda', 'salt', 'cinnamon', 'carrot', 'raisins', 'buttermilk', 'corn oil', 'egg', 'vanilla']",12
250 00 chocolate chip cookies,118843,20,145599,2005-04-24,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'drop-cookies', 'desserts', 'easy', 'cookies-and-brownies', '3-steps-or-less']","[5286.9, 427.0, 1630.0, 159.0, 163.0, 656.0, 224.0]",3,"['mix all ingredients together just until blended', 'spoon large tbspfuls onto a baking sheet', 'bake at 350 for 10-14 minutes']",these are great! the perfect name for them!,"['butter', 'white sugar', 'brown sugar', 'eggs', 'vanilla', 'flour', 'oatmeal', 'salt', 'baking powder', 'baking soda', 'chocolate chips', ""hershey's semi-sweet baking chocolate"", 'nuts']",13
lplermagronen,455351,55,1308592,2011-05-07,"['60-minutes-or-less', 'time-to-make', 'preparation']","[651.8, 33.0, 12.0, 16.0, 32.0, 63.0, 33.0]",15,"['heat oven to 375f set a large pot of salted water to boil', 'heat butter / oil over medium-low heat in a frying pan', 'add onions and fry them until golden brown', 'add penne and potatoes to the salted water', 'stir to make sure pasta doesnt stick together', 'cook until tender , about 15 minutes', 'drain penne and potatoes', 'combine milk / cream with salt and pepper', 'in an ovenproof casserole dish , place 1 / 3 of the penne-potatoes , sprinkle with 1 / 2 of the grated cheese', 'make another layer with 1 / 3 of the penne-potatoes , sprinkle with the other 1 / 2 of the grated cheese', 'top with the remaining 1 / 3 of the penne-potatoes', 'pour the seasoned milk / cream evenly over the top', 'spread the browned onions on top', 'bake covered for 10-15 minutes until steaming hot and cheese is melted', 'serve with warmed applesauce']","known as swiss mac n cheese, älplermagronen was traditionally a dish of peasant farmers  served with apple sauce. taken from growchew.wordpress.com and posted for zwt7","['potato', 'penne pasta', 'onions', 'butter', 'cheese', 'milk', 'salt and pepper', 'applesauce']",8
california roll   salad,318677,12,334242,2008-08-11,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'salads']","[455.7, 13.0, 38.0, 72.0, 34.0, 6.0, 26.0]",8,"['prepare rice according to directions', 'pour rice into medium bowl and toss with 1 tbsp vinegar', 'set aside', 'thinly slice cucumber and avacado', 'break up crabmeat into chunks', 'mix lettuce leaves with seasoned rice , cucumber , avocado slices and crabmeat', 'in separate cup , mix together soy sauce and remaining 2 tbl of seasoned rice vinegar', 'drizzle this dressing over salad , and add pickled ginger on top of salad']","this is a great light salad that can be your main meal or a side dish.  if you like the sushi taste minus the raw fish, this one is for you!  it is very easy to throw together.  you can buy pickled ginger at supermarkets in little bowls, usually by where they sell packaged sushi.","['white rice', 'seasoned rice vinegar', 'lettuce', 'cucumber', 'avocado', 'imitation crabmeat', 'soy sauce', 'pickled ginger']",8
chef salad  dressing,176110,10,57256,2006-07-04,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'salads', 'easy', 'salad-dressings', 'dietary', '3-steps-or-less']","[447.0, 46.0, 175.0, 32.0, 1.0, 19.0, 15.0]",3,"['mix all ingredients until smooth and well blended', 'store in refrigerator', 'will keep up to 2 weeks']","this is a wonderful blend of ingredients for a ""chef salad"". great hot weather food ! sliced turkey or chicken, shrimp, sliced ham, cheese, hard boiled eggs, olives, pickled beets, some sliced red onion and any and all other ingredients tossed with cold crisp lettuce! this is perfect! it will keep , refrigerated of course for up to 2 weeks!","['miracle whip', 'sugar', 'cider vinegar', 'ketchup', 'vegetable oil', 'pepper', 'garlic clove', 'salt', 'dry mustard', 'paprika', 'tabasco sauce']",11
ma s  oatmeal cake and icing,261215,45,568297,2007-10-25,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'desserts', 'cakes']","[366.5, 29.0, 120.0, 16.0, 8.0, 30.0, 15.0]",7,"['in a small bowl combine quick oats , margarine , and boiling water', 'cover and allow margarine to melt , and mixture to cool a bit', 'mix remaining cake ingredients and mix well', 'spread into 9x13 greased and lightly floured cake pan', 'bake at 350f for approximately 35 minutes or until done', 'for icing: mix icing ingredients until well blended', 'spread over cooled cake and put under broiler until coconut browns']","this recipe is a very old family recipe that came from my great grandmother who passed in 1988 at the age of 87. this a very heavy, moist cake. hope you enjoy it as much as our family has for many years.","['boiling water', 'quick oats', 'margarine', 'brown sugar', 'flour', 'eggs', 'salt', 'cinnamon', 'nutmeg', 'baking soda', 'shredded coconut', 'vanilla', 'cream', 'nuts']",14
real new york style  cheesecake supreme,365946,75,883095,2009-04-14,"['time-to-make', 'course', 'preparation', 'desserts', 'cheesecake', '4-hours-or-less']","[625.9, 69.0, 134.0, 17.0, 22.0, 138.0, 15.0]",25,"['make crust:', 'combine first three ingredients', 'cut in butter until mixture is crumbly', 'add egg yolk and vanilla', 'blend thoroughly', 'pat 1 / 3 of the dough on bottom of 9-inch springform pan', 'bake in hot oven , 400f , about 8 minutes or until golden', 'cool', 'butter sides of pan , attach to bottom , and pat remaining dough on sides to height of 1 3 / 4 inches', 'turn oven up to 450f place a 9x13 inch pan of hot water in bottom of oven , this helps to keep the custard creamy', 'make filling:', 'beat softened cream cheese until creamy', 'add vanilla', 'mix next 4 ingredients , , gradually blend in cheese', 'add eggs and egg yolks one at a time , beating after each just to blend', 'gently stir in whipping cream', 'turn into crust-lined pan', 'bake at 450f for 12 minutes', 'reduce heat to 300f and continue baking for 1 hour', 'may need a little time longer because of water', 'remove from oven', 'cool', 'loosen sides with spatula after 1 / 2 hour', 'remove sides at end of 1 hour', ""this cheesecake is at it's best if refrigerated overnight""]","this is so good!  for anyone that is a cheesecake lover, you know that a good cheesecake is the best dessert going, and this is a goodie!","['all-purpose flour', 'sugar', 'lemon peel', 'butter', 'egg yolk', 'vanilla', 'cream cheese', 'salt', 'eggs', 'egg yolks', 'whipping cream']",11
aunt johnnie s   pound cake,160077,120,8688,2006-03-15,"['time-to-make', 'course', 'preparation', 'desserts', 'cakes', 'dietary', 'low-sodium', 'low-in-something', '4-hours-or-less']","[650.5, 49.0, 201.0, 8.0, 15.0, 78.0, 27.0]",10,"['preheat oven to 300f', 'lightly grease and flour a 10 inch bundt pan', 'cream shortening , butter and sugar until light and fluffy with an electric mixer', 'add eggs one at a time , beating well after each addition', 'beat in almond extract', 'in another bowl , combine baking powder and flour', 'stir into creamed mixture alternately with the milk , starting and ending with flour', 'pour batter into prepared pan', 'bake in the preheated oven for 1 to 1 1 / 2 hours , or until a toothpick inserted into the center of the cake comes out clean', 'allow cake to cool in pan for 10 minutes , then turn out onto a wire rack and cool completely']","this pound cake is a must try if you love the taste of a dense, moist and rich dessert cake. served with fruit and whipped cream, with a sauce or plain, this pound cake will fill your needs.  i found this recipe on all recipes and thought i should share it here.","['shortening', 'butter', 'white sugar', 'eggs', 'almond extract', 'milk', 'baking powder', 'cake flour']",8
buffalo wing  mushrooms,535020,30,33186,2018-01-29,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'appetizers']","[2526.8, 345.0, 35.0, 106.0, 43.0, 87.0, 37.0]",8,"['in a medium-large mixing bowl , add in panko breadcrumbs and set aside', 'in a medium sized bowl , mix together flour , cornstarch , salt and black pepper', 'slowly whisk in water , making sure that it is not clumpy', 'in batches of three to four , drop in hen of the woods mushrooms into slurry then promptly into breadcrumbs', 'toss mushrooms in panko until the mushrooms are completely coated', 'remove the mushrooms from bowl and set out on a baking tray , making sure not to stack them up', 'bring four cups of canola oil up to 350f in a two-quart pot and drop in mushrooms', 'fry until golden brown and toss in hot sauce']",courtesy of ps kitchen.,"['mushrooms', 'cornstarch', 'all-purpose flour', 'salt', 'ground black pepper', 'seltzer water', 'panko breadcrumbs', 'canola oil']",8
